radius  u   sigma_rr   sigma_tt   sigma_zz  eps_rr   eps_tt   eps_zz  eps_p_rr   eps_p_tt   eps_p_zz
3.91615  2.55334e-05   0.000976297   0.0138274   0.00296075   -1.19067e-06   6.52002e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.9142  2.55357e-05   0.000969898   0.0138338   0.00296075   -1.19451e-06   6.52386e-06   0   -4.23516e-22   0   -4.23516e-22
3.91225  2.5538e-05   0.000963489   0.0138403   0.00296075   -1.19836e-06   6.52771e-06   0   -4.23516e-22   -8.47033e-22   -2.11758e-22
3.9103  2.55404e-05   0.000957071   0.0138467   0.00296075   -1.20221e-06   6.53156e-06   0   -6.35275e-22   -8.47033e-22   -4.23516e-22
3.90835  2.55427e-05   0.000950643   0.0138531   0.00296075   -1.20607e-06   6.53542e-06   0   -2.11758e-22   -8.47033e-22   -2.11758e-22
3.9064  2.55451e-05   0.000944206   0.0138596   0.00296075   -1.20993e-06   6.53929e-06   0   -4.23516e-22   0   -4.23516e-22
3.90445  2.55474e-05   0.000937758   0.013866   0.00296076   -1.2138e-06   6.54316e-06   0   -6.35275e-22   0   -6.35275e-22
3.9025  2.55498e-05   0.000931302   0.0138725   0.00296076   -1.21767e-06   6.54703e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.90055  2.55522e-05   0.000924835   0.013879   0.00296076   -1.22155e-06   6.55092e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.8986  2.55546e-05   0.000918359   0.0138854   0.00296076   -1.22544e-06   6.55481e-06   0   -4.23516e-22   0   -4.23516e-22
3.89665  2.5557e-05   0.000911873   0.0138919   0.00296076   -1.22933e-06   6.5587e-06   0   -6.35275e-22   0   -4.23516e-22
3.8947  2.55594e-05   0.000905378   0.0138984   0.00296076   -1.23323e-06   6.5626e-06   0   -6.35275e-22   0   -4.23516e-22
3.89275  2.55618e-05   0.000898872   0.0139049   0.00296076   -1.23713e-06   6.56651e-06   0   -6.35275e-22   0   -4.23516e-22
3.8908  2.55642e-05   0.000892357   0.0139115   0.00296076   -1.24104e-06   6.57042e-06   0   -4.23516e-22   0   -4.23516e-22
3.88885  2.55666e-05   0.000885832   0.013918   0.00296076   -1.24496e-06   6.57434e-06   0   -4.23516e-22   0   -4.23516e-22
3.8869  2.5569e-05   0.000879297   0.0139245   0.00296077   -1.24888e-06   6.57826e-06   0   -6.35275e-22   -8.47033e-22   -4.23516e-22
3.88495  2.55715e-05   0.000872753   0.0139311   0.00296077   -1.25281e-06   6.58219e-06   0   -4.23516e-22   -8.47033e-22   -2.11758e-22
3.883  2.55739e-05   0.000866198   0.0139376   0.00296077   -1.25674e-06   6.58613e-06   0   -6.35275e-22   -8.47033e-22   -4.23516e-22
3.88105  2.55764e-05   0.000859634   0.0139442   0.00296077   -1.26068e-06   6.59007e-06   0   -2.11758e-22   -1.69407e-21   -2.11758e-22
3.8791  2.55788e-05   0.00085306   0.0139508   0.00296077   -1.26463e-06   6.59401e-06   0   -6.35275e-22   0   -4.23516e-22
3.87715  2.55813e-05   0.000846476   0.0139574   0.00296077   -1.26858e-06   6.59797e-06   0   -6.35275e-22   0   -4.23516e-22
3.8752  2.55838e-05   0.000839882   0.013964   0.00296077   -1.27254e-06   6.60193e-06   0   -6.35275e-22   0   -6.35275e-22
3.87325  2.55863e-05   0.000833277   0.0139706   0.00296077   -1.2765e-06   6.60589e-06   0   -6.35275e-22   0   -4.23516e-22
3.8713  2.55888e-05   0.000826663   0.0139772   0.00296078   -1.28047e-06   6.60986e-06   0   -8.47033e-22   0   -6.35275e-22
3.86935  2.55913e-05   0.000820039   0.0139838   0.00296078   -1.28444e-06   6.61384e-06   0   -4.23516e-22   1.69407e-21   -4.23516e-22
3.8674  2.55938e-05   0.000813405   0.0139905   0.00296078   -1.28842e-06   6.61783e-06   0   -6.35275e-22   0   -4.23516e-22
3.86545  2.55963e-05   0.000806761   0.0139971   0.00296078   -1.29241e-06   6.62181e-06   0   -2.11758e-22   0   -4.23516e-22
3.8635  2.55988e-05   0.000800107   0.0140038   0.00296078   -1.2964e-06   6.62581e-06   0   -6.35275e-22   -8.47033e-22   -6.35275e-22
3.86155  2.56014e-05   0.000793443   0.0140105   0.00296078   -1.3004e-06   6.62981e-06   0   -4.23516e-22   0   -4.23516e-22
