radius  u   sigma_rr   sigma_tt   sigma_zz  eps_rr   eps_tt   eps_zz  eps_p_rr   eps_p_tt   eps_p_zz
3.91615  3.20088e-05   0.000969934   0.0172707   0.00364813   -1.60692e-06   8.17355e-06   0   -1.05879e-21   0   -8.47033e-22
3.9142  3.2012e-05   0.000961817   0.0172788   0.00364813   -1.61179e-06   8.17842e-06   0   -8.47033e-22   1.69407e-21   -8.47033e-22
3.91225  3.20151e-05   0.000953689   0.017287   0.00364813   -1.61667e-06   8.18331e-06   0   -6.35275e-22   -1.69407e-21   -4.23516e-22
3.9103  3.20183e-05   0.000945547   0.0172951   0.00364813   -1.62155e-06   8.18819e-06   0   -8.47033e-22   1.69407e-21   -8.47033e-22
3.90835  3.20215e-05   0.000937394   0.0173033   0.00364814   -1.62644e-06   8.19309e-06   0   -8.47033e-22   0   -8.47033e-22
3.9064  3.20246e-05   0.000929229   0.0173115   0.00364814   -1.63135e-06   8.19799e-06   0   -4.23516e-22   0   -4.23516e-22
3.90445  3.20278e-05   0.000921051   0.0173196   0.00364814   -1.63625e-06   8.2029e-06   0   -4.23516e-22   0   -4.23516e-22
3.9025  3.2031e-05   0.000912861   0.0173278   0.00364814   -1.64117e-06   8.20782e-06   0   -4.23516e-22   0   -4.23516e-22
3.90055  3.20342e-05   0.000904659   0.017336   0.00364814   -1.64609e-06   8.21274e-06   0   -6.35275e-22   0   -8.47033e-22
3.8986  3.20374e-05   0.000896444   0.0173443   0.00364814   -1.65102e-06   8.21768e-06   0   -6.35275e-22   0   -4.23516e-22
3.89665  3.20407e-05   0.000888217   0.0173525   0.00364814   -1.65596e-06   8.22262e-06   0   -6.35275e-22   0   -4.23516e-22
3.8947  3.20439e-05   0.000879978   0.0173608   0.00364815   -1.6609e-06   8.22756e-06   0   -6.35275e-22   1.69407e-21   -4.23516e-22
3.89275  3.20471e-05   0.000871727   0.017369   0.00364815   -1.66585e-06   8.23252e-06   0   -6.35275e-22   0   -4.23516e-22
3.8908  3.20504e-05   0.000863463   0.0173773   0.00364815   -1.67081e-06   8.23748e-06   0   -8.47033e-22   0   -8.47033e-22
