"FailureType","Displacement:0","Displacement:1","Displacement:2","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","StrainPlastic:0","StrainPlastic:1","StrainPlastic:2","StrainPlastic:3","StrainPlastic:4","StrainPlastic:5","StrainPlastic:6","StrainPlastic:7","StrainPlastic:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.00037039252,4.8806917e-16,0,-3.7883892,-7.9929181e-05,0,-7.9929181e-05,3.836726,0,0,0,0.0096681798,-0.0022788337,-4.7957421e-08,0,-4.7957421e-08,0.0022962366,0,0,0,0,-2.9217539e-19,2.4860875e-21,0,2.4860875e-21,3.6295269e-19,0,0,0,-1.0906855e-20,1,0.062400006,0.16240001,0,0
0,0.00036139748,4.0398681e-16,0,-3.6308966,-0.00024956241,0,-0.00024956241,3.6432221,0,0,0,0.0024662251,-0.0021800171,-1.497374e-07,0,-1.497374e-07,0.0021844557,0,0,0,0,1.4770765e-19,2.4822811e-20,0,2.4822811e-20,3.5582921e-19,0,0,0,-2.8944156e-19,1,0.066299997,0.1663,0,0
0,0.00035308153,3.3900154e-16,0,-3.4666555,-0.00025025062,0,-0.00025025062,3.4767323,0,0,0,0.0020164845,-0.0020812026,-1.501503e-07,0,-1.501503e-07,0.0020848322,0,0,0,0,4.928446e-19,3.5202015e-20,0,3.5202015e-20,1.5105389e-19,0,0,0,-3.1830859e-19,1,0.070200004,0.17020001,0,0
0,0.00034546305,2.9362993e-16,0,-3.295485,-7.7428638e-05,0,-7.7428638e-05,3.3379874,0,0,0,0.0085014179,-0.0019823904,-4.6457004e-08,0,-4.6457004e-08,0.0019976951,0,0,0,0,7.4067256e-19,3.3300508e-20,0,3.3300508e-20,-2.5671261e-19,0,0,0,-9.0761262e-20,1,0.074099995,0.1741,0,0
0,0.00033784457,2.4825816e-16,0,-3.1243138,9.5394003e-05,0,9.5394003e-05,3.1992421,0,0,0,0.014986376,-0.0018835779,5.723669e-08,0,5.723669e-08,0.0019105577,0,0,0,0,9.8850141e-19,3.1398994e-20,0,3.1398994e-20,-6.6448065e-19,0,0,0,1.3678694e-19,1,0.078000002,0.178,0,0
0,0.00033022609,2.0288657e-16,0,-2.9531434,0.00026821598,0,0.00026821598,3.0604973,0,0,0,0.02147131,-0.0017847657,1.6092999e-07,0,1.6092999e-07,0.0018234208,0,0,0,0,1.2363294e-18,2.9497487e-20,0,2.9497487e-20,-1.0722471e-18,0,0,0,3.6433426e-19,1,0.081899993,0.18189999,0,0
0,0.00032371297,1.758568e-16,0,-2.8577559,0.00010444358,0,0.00010444358,2.935123,0,0,0,0.015473808,-0.0017239328,6.2666466e-08,0,6.2666466e-08,0.0017517859,0,0,0,0,3.5856563e-19,0,0,0,-8.3773368e-19,0,0,0,8.8350586e-20,1,0.0858,0.1858,0,0
0,0.00031729162,1.5032295e-16,0,-2.7635601,5.8360943e-06,0,5.8360943e-06,2.8181586,0,0,0,0.010920199,-0.0016646831,3.5018883e-09,0,3.5018883e-09,0.0016843408,0,0,0,0,4.0912994e-19,0,0,0,-7.0313712e-19,0,0,0,7.1117306e-21,1,0.089700006,0.18970001,0,0
0,0.00031087027,1.2478921e-16,0,-2.6693647,-9.2771013e-05,0,-9.2771013e-05,2.7011948,0,0,0,0.0063666059,-0.0016054335,-5.5662465e-08,0,-5.5662465e-08,0.001616896,0,0,0,0,4.5969404e-19,0,0,0,-5.6854109e-19,0,0,0,-7.4126815e-20,1,0.093599997,0.1936,0,0
0,0.00030444891,9.925538e-17,0,-2.5751688,-0.00019137849,0,-0.00019137849,2.5842302,0,0,0,0.0018129963,-0.0015461838,-1.1482705e-07,0,-1.1482705e-07,0.0015494509,0,0,0,0,5.1025835e-19,0,0,0,-4.3394453e-19,0,0,0,-1.5536566e-19,1,0.097500004,0.19750001,0,0
