"FailureType","Displacement:0","Displacement:1","Displacement:2","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","StrainPlastic:0","StrainPlastic:1","StrainPlastic:2","StrainPlastic:3","StrainPlastic:4","StrainPlastic:5","StrainPlastic:6","StrainPlastic:7","StrainPlastic:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.62416285,0.00046999386,4.4639246e-15,0,-4.7823958,0.00076975476,0,0.00076975476,4.4844136,0,0,0,-0.059597269,-0.0029255725,3.7101955e-07,0,3.7101955e-07,0.0029138413,0,0,0,0,-9.1896705e-05,-9.083648e-08,0,-9.083648e-08,0.00018743752,0,0,0,-1.7929836e-19,1,0.062400006,0.16240001,0,0
0.20989566,0.00045843533,4.0283311e-15,0,-4.6243877,9.8615375e-05,0,9.8615375e-05,4.4856658,0,0,0,-0.027745534,-0.002788885,2.8623763e-08,0,2.8623763e-08,0.0027710751,0,0,0,0,-3.0903342e-05,-3.0546808e-08,0,-3.0546808e-08,6.3032145e-05,0,0,0,-4.52375e-19,1,0.066299997,0.1663,0,0
0.025956899,0.0004478159,3.6426584e-15,0,-4.420608,-7.8410034e-05,0,-7.8410034e-05,4.3874493,0,0,0,-0.0066327252,-0.0026522034,-5.0823289e-08,0,-5.0823289e-08,0.0026442409,0,0,0,0,-3.8216763e-06,-3.77758e-09,0,-3.77758e-09,7.794918e-06,0,0,0,-4.9049654e-19,1,0.070200004,0.17020001,0,0
0.078571893,0.00043816102,3.3082587e-15,0,-4.1698213,0.00025203172,0,0.00025203172,4.187077,0,0,0,0.0034508067,-0.0025155286,1.3978436e-07,0,1.3978436e-07,0.0025337706,0,0,0,0,-1.1568268e-05,-1.1434788e-08,0,-1.1434788e-08,2.3595327e-05,0,0,0,-2.8731387e-19,1,0.074099995,0.1741,0,0
0.1311871,0.00042850611,2.9738577e-15,0,-3.919034,0.00058247475,0,0.00058247475,3.9867043,0,0,0,0.013534377,-0.0023788535,3.3039274e-07,0,3.3039274e-07,0.0024232999,0,0,0,0,-1.9314888e-05,-1.9092026e-08,0,-1.9092026e-08,3.9395796e-05,0,0,0,-8.4130401e-20,1,0.078000002,0.178,0,0
0.1838021,0.00041885124,2.639458e-15,0,-3.6682475,0.0009129165,0,0.0009129165,3.7863324,0,0,0,0.02361791,-0.0022421787,5.210004e-07,0,5.210004e-07,0.0023128297,0,0,0,0,-2.706148e-05,-2.6749234e-08,0,-2.6749234e-08,5.5196204e-05,0,0,0,1.1905228e-19,1,0.081899993,0.18189999,0,0
0,0.00041059015,2.394762e-15,0,-3.6252825,-7.4139047e-05,0,-7.4139047e-05,3.7226841,0,0,0,0.019478859,-0.0021868574,-4.4483468e-08,0,-4.4483468e-08,0.002221921,0,0,0,0,5.6732694e-19,-7.5114906e-21,0,-7.5114906e-21,1.0049519e-18,0,0,0,-1.0123185e-18,1,0.0858,0.1858,0,0
0,0.0004024448,2.1575905e-15,0,-3.5057724,-0.00013501104,0,-0.00013501104,3.5743346,0,0,0,0.013711439,-0.0021116922,-8.1006711e-08,0,-8.1006711e-08,0.0021363732,0,0,0,0,4.070183e-19,-1.5646693e-20,0,-1.5646693e-20,5.167435e-19,0,0,0,-6.3404547e-19,1,0.089700006,0.18970001,0,0
0,0.00039429945,1.92042e-15,0,-3.3862624,-0.00019588281,0,-0.00019588281,3.4259856,0,0,0,0.0079440409,-0.0020365273,-1.1752982e-07,0,-1.1752982e-07,0.0020508256,0,0,0,0,2.4671026e-19,-2.3781864e-20,0,-2.3781864e-20,2.8537062e-20,0,0,0,-2.5577391e-19,1,0.093599997,0.1936,0,0
0,0.0003861541,1.6832484e-15,0,-3.2667522,-0.00025675481,0,-0.00025675481,3.2776361,0,0,0,0.002176621,-0.0019613618,-1.5405305e-07,0,-1.5405305e-07,0.0019652778,0,0,0,0,8.64016e-20,-3.1917068e-20,0,-3.1917068e-20,-4.5967125e-19,0,0,0,1.2249909e-19,1,0.097500004,0.19750001,0,0
0,0.00037861185,1.4857649e-15,0,-3.1421843,-0.00023371632,0,-0.00023371632,3.1495204,0,0,0,0.0014671484,-0.0018861959,-1.4022993e-07,0,-1.4022993e-07,0.0018888345,0,0,0,0,6.4265678e-20,-3.2551163e-20,0,-3.2551163e-20,-6.1815574e-19,0,0,0,2.5806011e-19,1,0.1014,0.2014,0,0
0,0.00037177457,1.3346777e-15,0,-3.0117023,-0.00011258064,0,-0.00011258064,3.0450587,0,0,0,0.0066707511,-0.0018110283,-6.7548385e-08,0,-6.7548385e-08,0.0018230344,0,0,0,0,2.0366279e-19,-2.4415969e-20,0,-2.4415969e-20,-3.9117221e-19,0,0,0,1.0987562e-19,1,0.1053,0.2053,0,0
