"FailureType","Displacement:0","Displacement:1","Displacement:2","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","StrainPlastic:0","StrainPlastic:1","StrainPlastic:2","StrainPlastic:3","StrainPlastic:4","StrainPlastic:5","StrainPlastic:6","StrainPlastic:7","StrainPlastic:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.92386,0.00042934,-2.3929e-06,0,-4.9724,0.37996,0,0.37996,4.135,0,0,0,-0.16748,-0.0029923,0.00025448,0,0.00025448,0.0028113,0,0,0,0,-0.00010937,2.651e-05,0,2.651e-05,0.00022985,0,0,0,-4.5183e-19,1,0.0741,0.1741,0,0
0.86738,0.00041902,-2.48e-06,0,-4.8528,0.39551,0,0.39551,3.8507,0,0,0,-0.20042,-0.0028665,0.00025867,0,0.00025867,0.0025908,0,0,0,0,-7.503e-05,2.1367e-05,0,2.1367e-05,0.00016008,0,0,0,-3.8194e-19,1,0.078,0.178,0,0
0.77456,0.00041229,-2.3172e-06,0,-4.6795,0.41228,0,0.41228,3.3704,0,0,0,-0.26181,-0.0027406,0.00026286,0,0.00026286,0.0023702,0,0,0,0,-8.9997e-05,1.5497e-05,0,1.5497e-05,0.00019084,0,0,0,-3.3645e-19,1,0.0819,0.1819,0,0
0.68173,0.00040556,-2.1543e-06,0,-4.5061,0.42905,0,0.42905,2.8901,0,0,0,-0.3232,-0.0026147,0.00026706,0,0.00026706,0.0021496,0,0,0,0,-0.00010496,9.6267e-06,0,9.6267e-06,0.00022159,0,0,0,-2.9095e-19,1,0.0858,0.1858,0,0
0.58891,0.00039883,-1.9915e-06,0,-4.3328,0.44582,0,0.44582,2.4098,0,0,0,-0.38459,-0.0024888,0.00027125,0,0.00027125,0.001929,0,0,0,0,-0.00011993,3.7564e-06,0,3.7564e-06,0.00025235,0,0,0,-2.4546e-19,1,0.0897,0.1897,0,0
0.49608,0.0003921,-1.8286e-06,0,-4.1594,0.46259,0,0.46259,1.9296,0,0,0,-0.44598,-0.002363,0.00027544,0,0.00027544,0.0017084,0,0,0,0,-0.0001349,-2.1138e-06,0,-2.1138e-06,0.0002831,0,0,0,-1.9997e-19,1,0.0936,0.1936,0,0
0.40326,0.00038538,-1.6657e-06,0,-3.9861,0.47935,0,0.47935,1.4493,0,0,0,-0.50736,-0.0022371,0.00027963,0,0.00027963,0.0014878,0,0,0,0,-0.00014986,-7.9841e-06,0,-7.9841e-06,0.00031386,0,0,0,-1.5447e-19,1,0.0975,0.1975,0,0
0.31043,0.00037865,-1.5029e-06,0,-3.8127,0.49612,0,0.49612,0.96897,0,0,0,-0.56875,-0.0021112,0.00028382,0,0.00028382,0.0012672,0,0,0,0,-0.00016483,-1.3854e-05,0,-1.3854e-05,0.00034461,0,0,0,-1.0898e-19,1,0.1014,0.2014,0,0
0.21761,0.00037192,-1.34e-06,0,-3.6394,0.51289,0,0.51289,0.48868,0,0,0,-0.63014,-0.0019853,0.00028801,0,0.00028801,0.0010467,0,0,0,0,-0.0001798,-1.9725e-05,0,-1.9725e-05,0.00037536,0,0,0,-6.3483e-20,1,0.1053,0.2053,0,0
0.12478,0.00036519,-1.1772e-06,0,-3.466,0.52966,0,0.52966,0.0083957,0,0,0,-0.69153,-0.0018595,0.0002922,0,0.0002922,0.00082607,0,0,0,0,-0.00019476,-2.5595e-05,0,-2.5595e-05,0.00040612,0,0,0,-1.7988e-20,1,0.1092,0.2092,0,0
0.031956,0.00035846,-1.0143e-06,0,-3.2927,0.54643,0,0.54643,-0.47189,0,0,0,-0.75292,-0.0017336,0.00029639,0,0.00029639,0.00060549,0,0,0,0,-0.00020973,-3.1465e-05,0,-3.1465e-05,0.00043687,0,0,0,2.7506e-20,1,0.1131,0.2131,0,0
-0.060869,0.00035174,-8.5145e-07,0,-3.1194,0.5632,0,0.5632,-0.95218,0,0,0,-0.81431,-0.0016077,0.00030058,0,0.00030058,0.0003849,0,0,0,0,-0.0002247,-3.7335e-05,0,-3.7335e-05,0.00046763,0,0,0,7.3001e-20,1,0.117,0.217,0,0
-0.15369,0.00034501,-6.8859e-07,0,-2.946,0.57997,0,0.57997,-1.4325,0,0,0,-0.8757,-0.0014819,0.00030477,0,0.00030477,0.00016432,0,0,0,0,-0.00023967,-4.3206e-05,0,-4.3206e-05,0.00049838,0,0,0,1.185e-19,1,0.1209,0.2209,0,0
-0.24652,0.00033828,-5.2573e-07,0,-2.7727,0.59673,0,0.59673,-1.9128,0,0,0,-0.93709,-0.001356,0.00030896,0,0.00030896,-5.6269e-05,0,0,0,0,-0.00025463,-4.9076e-05,0,-4.9076e-05,0.00052914,0,0,0,1.6399e-19,1,0.1248,0.2248,0,0
-0.33934,0.00033155,-3.6287e-07,0,-2.5993,0.6135,0,0.6135,-2.3931,0,0,0,-0.99848,-0.0012301,0.00031316,0,0.00031316,-0.00027685,0,0,0,0,-0.0002696,-5.4946e-05,0,-5.4946e-05,0.00055989,0,0,0,2.0948e-19,1,0.1287,0.2287,0,0
-0.43217,0.00032482,-2.0001e-07,0,-2.426,0.63027,0,0.63027,-2.8733,0,0,0,-1.0599,-0.0011042,0.00031735,0,0.00031735,-0.00049744,0,0,0,0,-0.00028457,-6.0816e-05,0,-6.0816e-05,0.00059065,0,0,0,2.5498e-19,1,0.1326,0.2326,0,0
-0.52499,0.00031809,-3.715e-08,0,-2.2526,0.64704,0,0.64704,-3.3536,0,0,0,-1.1213,-0.00097836,0.00032154,0,0.00032154,-0.00071803,0,0,0,0,-0.00029953,-6.6687e-05,0,-6.6687e-05,0.0006214,0,0,0,3.0047e-19,1,0.1365,0.2365,0,0
-0.61782,0.00031137,1.2571e-07,0,-2.0793,0.66381,0,0.66381,-3.8339,0,0,0,-1.1826,-0.00085249,0.00032573,0,0.00032573,-0.00093861,0,0,0,0,-0.0003145,-7.2557e-05,0,-7.2557e-05,0.00065216,0,0,0,3.4597e-19,1,0.1404,0.2404,0,0
-0.71064,0.00030464,2.8857e-07,0,-1.9059,0.68058,0,0.68058,-4.3142,0,0,0,-1.244,-0.00072662,0.00032992,0,0.00032992,-0.0011592,0,0,0,0,-0.00032947,-7.8427e-05,0,-7.8427e-05,0.00068291,0,0,0,3.9146e-19,1,0.1443,0.2443,0,0
-0.80347,0.00029791,4.5143e-07,0,-1.7326,0.69735,0,0.69735,-4.7945,0,0,0,-1.3054,-0.00060074,0.00033411,0,0.00033411,-0.0013798,0,0,0,0,-0.00034443,-8.4297e-05,0,-8.4297e-05,0.00071367,0,0,0,4.3696e-19,1,0.1482,0.2482,0,0
0,0.00029203,5.6685e-07,0,-1.7471,0.056528,0,0.056528,1.3575,0,0,0,-0.07792,-0.0010015,3.3917e-05,0,3.3917e-05,0.00086127,0,0,0,0,4.2857e-19,1.9639e-20,0,1.9639e-20,-2.8783e-19,0,0,0,-1.0346e-20,1,0.1521,0.2521,0,0
