0.00000000	0.00000000	0.00000000	0.000000000000000	0.000000000000000	0.000000000000000
-0.00021300	0.00005700	0.00005700	-10.802282333400000	-2.183400491400000	-2.183400491400000
-0.00048100	0.00011600	0.00011600	-25.422384566199900	-6.365079160000000	-6.365079160000000
-0.00076700	0.00017600	0.00017600	-41.264019077533300	-11.161776199733300	-11.161776199733300
-0.00112500	0.00027700	0.00027700	-58.999684482733300	-14.245342473533300	-14.245342473533300
-0.00159900	0.00038500	0.00038500	-84.562520394333300	-21.229699747933300	-21.229699747933300
-0.00205700	0.00051800	0.00051800	-106.884675140449000	-24.910259699097600	-24.910259699097600
-0.00244300	0.00063900	0.00063900	-121.811001188409000	-35.419709605106800	-35.419709605106800
-0.00251200	0.00066500	0.00066500	-124.053121810838000	-36.998360258250300	-36.998360258250300
-0.00262100	0.00070300	0.00070300	-127.894542986143000	-39.703059544600800	-39.703059544600800
-0.00285300	0.00079000	0.00079000	-135.474239539180000	-45.039834379274800	-45.039834379274800
-0.00317800	0.00092700	0.00092700	-144.617881656645000	-51.477764817294500	-51.477764817294500
-0.00339200	0.00104300	0.00104300	-148.124393829542000	-53.946658629975800	-53.946658629975800
-0.00371300	0.00123300	0.00123300	-151.824395051052000	-56.551785796881700	-56.551785796881700
-0.00398600	0.00155200	0.00155200	-139.625823532513000	-47.962915643098800	-47.962915643098800
-0.00416800	0.00198000	0.00198000	-110.501577802622000	-27.456878151681300	-27.456878151681300
