 0.00000	 0.00000	 0.00000	 0.13304	3
-0.00500	-0.06221	-0.00277	 0.05027	3
-0.01000	-0.11918	-0.01548	-0.03880	3
-0.01500	-0.16647	-0.04392	-0.13433	3
-0.02000	-0.21683	-0.07752	-0.23829	3
-0.02500	-0.27095	-0.11475	-0.35250	3
-0.03000	-0.32943	-0.15587	-0.47886	3
-0.03500	-0.39303	-0.20152	-0.61967	3
-0.04000	-0.46264	-0.25259	-0.77786	3
-0.04500	-0.53945	-0.31017	-0.95719	3
-0.05000	-0.62496	-0.37575	-1.16256	3
-0.05500	-0.72111	-0.45121	-1.40044	3
-0.06000	-0.83043	-0.53906	-1.67941	3
-0.05800	-0.59043	-0.45906	-1.67941	1
-0.05600	-0.35042	-0.37905	-1.67941	1
-0.05400	-0.11041	-0.29904	-1.67941	1
-0.05200	-0.01141	-0.21133	-1.64829	2
-0.05000	 0.03390	-0.13183	-1.60532	2
-0.04800	 0.07056	-0.06140	-1.56177	2
-0.03800	 0.10000	 0.10000	-1.25354	0
-0.02800	 0.10000	 0.10000	-0.91787	0
-0.01800	 0.10000	 0.10000	-0.62242	0
-0.00800	 0.10000	 0.10000	-0.36085	0
 0.00200	 0.10000	 0.10000	-0.12798	0
 0.01200	 0.10000	 0.10000	-0.00000	0
 0.02200	 0.10000	 0.10000 	-0.00000	0
